Date;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2 Sup;C4 inf;C5 supA;C5 inf;C6 s+m;C6 inf;BPL;MgO;Fe2O3;SiO2;CO2;BPL;MgO;Fe2O3;SiO2;CO2
29-mars;;32;;;;; -     ; -     ;43;25; -     ;52.58;1.66;;11.71;8.73;50.59;2.15;0.32;13.89;10.1
30-mars;;52;;;;; -     ; -     ;28;20; -     ;51.89;1.95;;10.64;9.51;51.81;1.71;0.3;14.63;9.29
31-mars;;67;;;;; -     ; -     ;16;16; -     ;51.18;1.82;;11.82;9.37;49.98;1.67;0.31;14.81;9.84
1-avr.;;100; -     ;;;;; -     ; -     ; -     ; -     ;49.1;2.07;;11.95;9.28;48.05;1.6;0.32;14.19;9.84
2-avr.;;100; -     ;;;;; -     ; -     ; -     ; -     ;48.85;2.18;;11.5;9.72;45.77;2.34;0.35;15.2;11.4
3-avr.;;100; -     ;;;;; -     ; -     ; -     ; -     ;47.95;2.15;;18.3;10;46.8;2.21;0.33;16.6;10.77
4-avr.;;100; -     ;;;;; -     ; -     ; -     ; -     ;48.06;2.18;;17.71;10.13;46.65;2.17;0.32;18.09;9.77
5-avr.;;85;5;;;;;10; -     ; -     ; -     ;48.94;1.66;;17.43;9.12;44.37;1.92;0.33;20.13;9.23
6-avr.;;94; -     ;;;;;6; -     ; -     ; -     ;49.4;1.48;;18.16;8.98;47.38;1.84;0.31;17.7;9.84
7-avr.;;92; -     ;;;;;8; -     ; -     ; -     ;49.27;1.43;;18.56;8.73;48.94;1.96;0.33;18.51;9.63
8-avr.;;88; -     ;;;;;12; -     ; -     ; -     ;48.7;1.76;;15.87;9.6;46.43;1.68;;16.61;10.08
9-avr.;;89; -     ;;;;;11; -     ; -     ; -     ;48.05;1.87;;16.46;10.09;47.6;1.93;;16.91;10.52
10-avr.;;82; -     ;;;;;18; -     ; -     ; -     ;47.97;1.86;;17.94;9.53;43.87;1.79;0.32;17.98;11.71
11-avr.;;93; -     ;;;;;7; -     ; -     ; -     ;50.06;1.95;;15.92;9.18;47.63;1.96;0.31;18.8;8.82
12-avr.;;100; -     ;;;;; -     ; -     ; -     ; -     ;49.2;1.99;;17.56;9.22;47.52;1.85;0.32;18.89;9.16
13-avr.;;99; -     ;;;;;1; -     ; -     ; -     ;49.42;1.98;;17.41;9.06;46.27;1.89;0.33;18.48;11.49
14-avr.;;81;12;;;;;7; -     ; -     ; -     ;48.72;1.86;;18.31;9.05;47.55;1.29;0.31;15;10.48
15-avr.;;68;27;;;;;5; -     ; -     ; -     ;48.3;1.72;;18.47;9.23;45.04;1.52;0.3;17.54;10.85
16-avr.;;69;17;;;;;13; -     ; -     ; -     ;48.74;1.74;;18.66;8.79;46.88;1.3;0.31;16.61;10.72
17-avr.;;70;21;;;;;9; -     ; -     ; -     ;48.82;1.72;;18.21;8.95;47.1;1.39;0.29;18.66;9.16
18-avr.;;70;30;;;;; -     ; -     ; -     ; -     ;46.96;1.28;;15.33;11.91;44.49;1.21;0.3;16.94;11.38
19-avr.;;67;16;;;;;17; -     ; -     ; -     ;48.05;1.32;;14.96;11.01;49.49;1.05;0.3;17.57;9.09
20-avr.;;84;16;;;;; -     ; -     ; -     ; -     ;47.78;1.26;;15.05;11.73;46.73;1.52;0.31;18.22;10.55
21-avr.;;69;18;;;;;13; -     ; -     ; -     ;46.84;1.54;;16.9;10.36;46.95;1.43;0.32;16.92;10.61
22-avr.;;62;38;;;;; -     ; -     ; -     ; -     ;44.99;1.53;;17.44;11.04;44.73;1.34;0.32;19.41;10.41
23-avr.;;68;32;;;;; -     ; -     ; -     ; -     ;44.7;1.3;;19.54;10.61;49.09;2.01;;15.4;9.46
24-avr.;;69;31;;;;; -     ; -     ; -     ; -     ;46.65;1.42;;18.38;9.84;48.75;1.04;;17.17;9.26
25-avr.;;70;28;;;;;2; -     ; -     ; -     ;47.91;1.36;;16.07;9.52;46.89;1.32;;21.49;9.13
26-avr.;;55;34;;;;;11; -     ; -     ; -     ;46.29;1.43;;18.45;10.16;47.54;1.36;0.32;17.91;9.13
27-avr.;;67;33;;;;; -     ; -     ; -     ; -     ;47.74;1.42;;16.71;10.08;48.96;1;0.32;16.35;9.13
28-avr.;;66;34;;;;; -     ; -     ; -     ; -     ;47.82;1.29;;17.52;10.01;51.36;1.03;0.29;15.1;9.4
29-avr.;;66;34;;;;; -     ; -     ; -     ; -     ;49.04;1.15;;15.47;9.56;51.21;1.18;0.3;17.04;8.11
30-avr.;;72;28;;;;; -     ; -     ; -     ; -     ;48.53;1.23;;15.98;9.46;51.09;1.06;0.31;16.45;8.11
1-mai;;63;37;;;;; -     ; -     ; -     ; -     ;48.17;1.23;;15.94;9.6;49.37;1.08;0.29;17.18;12.21
2-mai;;72;28;;;;; -     ; -     ; -     ; -     ;49.47;1.13;;16.99;8.97;49.92;0.92;0.3;16.48;9.33
3-mai;;17;8;;;;; -     ; -     ;74; -     ;57.45;0.79;;13;6.14;51.48;1.62;0.3;16.08;8.52
4-mai;;63;33;;;;;1;2; -     ; -     ;49.35;1.25;;16.62;8.86;48.9;1.46;0.3;16.64;9.26
5-mai;;39;37;;;;;8;16; -     ; -     ;47.35;1.48;;15.61;10.15;47.36;1.58;0.32;16.84;10.15
6-mai;;45;33;;;;;12;9; -     ; -     ;48.15;1.47;;15.95;10.04;44.27;1.44;0.32;15.6;12.24
7-mai;;32;35;;;;;25;9; -     ; -     ;46.83;1.36;;15.54;11.01;46.55;1.45;0.31;15.74;11.48
8-mai;;30;36;;;;;23;11; -     ; -     ;47.32;1.32;;14.91;11.12;44.83;1.54;0.32;17.12;11.09
9-mai;;52;31;;;;; -     ;17; -     ; -     ;48.59;1.29;;15.24;10.75;48.28;1.29;;13.9;12.04
10-mai;;40;27;;;;;22;11; -     ; -     ;48.76;1.24;;15.1;10.12;47.05;1;0.3;16.88;9.43
11-mai;;63;26;;;;; -     ;11; -     ; -     ;48.9;1.24;;15.66;9.53;50.77;1.01;0.29;16;8.05
12-mai;;35;22;;;;;29;13; -     ; -     ;48.4;1.21;;14.84;10.02;47.22;1;0.28;19.3;8.73
13-mai;;26;23;;;;;51; -     ; -     ; -     ;47.46;1.08;;15.07;10.25;;;;;
14-mai;;21;17;;;;;45;16; -     ; -     ;47.97;1.24;;14.54;10.26;48.46;1.06;;15.38;10.1
15-mai;;50;22;;;;;7;21; -     ; -     ;49.13;1.24;;14.8;9.71;50.13;1.04;;14.8;9.77
16-mai;;55;26;;;;; -     ;19; -     ; -     ;49.15;1.23;;14.91;9.67;48.78;1.3;;15.17;9.86
