,SM-MZ,BPL,MgO,Fe2O3,SiO2,CO2,BPLnif,MgOnif,Fe2O3nif,SiO2nif,CO2nif
"(nan, nan)",4,53.81,1.5,0,13.69,7.39,52.65,1.41,0.0,15.61,8.65
"(nan, nan)",18,53.92,1.57,3.03,13.45,8.77,54.79,1.64,0.0,14.58,0
"(nan, nan)",5,53.48,1.51,0,12.1,9.02,54.19,1.55,0.0,14.06,8.18
169,66,53.15,1.63,0,10.55,10.57,53.41,1.78,0.0,12.5,9.43
33,45,52.92,1.57,0,12.49,8.38,57.1,1.4,0.33,0,7.57
134,55,49.15,1.23,0,14.91,9.67,48.78,1.3,0.0,15.17,9.86
309,1,53.17,1.41,0,14.79,7.75,52.96,1.71,0.0,0,11.27
322,10,51.94,1.68,0,13.98,8.41,55.91,1.4,0.0,12.04,6.97
306,5,50.81,1.71,0,13.4,9.44,54.12,1.54,0.0,0,7.76
71,32,52.71,1.59,0,11.39,7.61,55.64,1.33,0.3,13.85,8.14
"(nan, nan)",9,53.34,1.48,0,12.92,9.31,55.12,1.39,0.0,14.05,6.05
363,21,50.7,1.8,0,12.33,9.75,52.52,1.34,0.0,13.64,8.79
"(nan, nan)",0,54.93,1.56,0,10.63,7.13,55.77,1.89,0.0,10.62,9.11
22,31,53.42,1.48,0,13.22,8.59,54.01,1.9,0.34,12.15,8.28
155,18,48.15,1.62,0,18.5,9.59,44.71,1.46,0.0,14.92,12.12
"(nan, nan)",31,51.89,1.57,0,12.91,8.92,55.96,1.76,0.0,11.36,8.16
"(nan, nan)",3,52.42,1.55,0,14.7,8.54,53.39,1.51,0.0,13.16,8.86
131,26,47.46,1.08,0,15.07,10.25,0,0,0.0,0,0
327,9,52.56,1.62,0,12.75,8.69,54.5,1.59,0.0,12.43,8.71
119,63,48.17,1.23,0,15.94,9.6,49.37,1.08,0.29,17.18,12.21
"(nan, nan)",18,53.92,1.57,3.03,13.45,8.77,54.79,1.64,0.0,14.58,0
"(nan, nan)",12,51.27,1.62,0,12.55,9.42,52.61,1.41,0.0,13.28,8.93
"(nan, nan)",9,54.3,1.37,0,13.04,6.07,51.11,1.68,0.0,17.04,8.44
256,30,51.35,1.68,0,13.93,9.47,54.63,1.7,0.0,15.32,7.25
104,69,48.74,1.74,0,18.66,8.79,46.88,1.3,0.31,16.61,10.72
30,43,53.31,1.55,0,12.36,8.03,53.75,1.58,0.3,9.9,9.22
"(nan, nan)",19,55.28,1.49,0,13.48,8.38,53.49,1.46,0.0,11.51,0
272,22,50.34,1.85,0,13.78,11.35,52.55,1.82,0.0,13.1,9.76
"(nan, nan)",5,53.06,1.52,0,13.5,8.22,53.13,1.33,0.0,14.42,8.23
319,16,51.76,1.69,0,13.03,9.44,52.42,1.55,0.0,14.48,9.7
23,30,53.77,1.49,0,12.08,8.84,58.25,1.6,0.31,11.27,7.79
108,84,47.78,1.26,0,15.05,11.73,46.73,1.52,0.31,18.22,10.55
247,7,53.07,1.4,0,12.33,8.21,55.48,1.38,0.0,14.31,7.21
29,39,53.99,1.42,0,13.58,7.99,59.37,1.27,0.34,12.62,7.3
"(nan, 'Mai')",13,53.59,1.58,3.11,13.19,7.67,51.82,1.52,0.0,12.62,0
101,99,49.42,1.98,0,17.41,9.06,46.27,1.89,0.33,18.48,11.49
"(nan, 'Mars')",9,52.8,1.64,0,12.65,9.56,51.83,1.43,0.0,14.09,8.57
305,2,52.23,1.49,0,14.24,8.33,56.65,1.56,0.0,0,7.42
"(nan, nan)",15,52,1.81,3.29,11.47,8.64,52.84,1.58,0.0,10.92,0
"(2022.0, 'Janvier')",17,51.33,1.66,0,12.65,9.33,51.18,1.51,0.0,13.7,9.53
84,32,51.86,1.88,0,11.19,10.6,54.18,1.53,0.32,10.84,9.33
58,48,52.21,1.51,0,13.83,8.24,53.73,1.92,0.3,12.92,7.2
285,40,49.15,1.6,0,17.33,9.41,49.65,1.49,0.0,18.72,7.69
"(nan, nan)",16,53.42,1.61,0,12.75,8.93,54.66,1.7,0.0,11.35,0
