;;Date;% par provenance;;;;;;;;;;;Simulé;;;;;NIF;;;;
;;;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2S+M;C4;C5 SupA;C5 inf;C6 s+m;C6 inf;BPL ;MgO ;MO;SiO2 ;CO2;BPL ;MgO ;MO;SiO2 ;CO2
;;14-mars;0;0;0;;5;5;;0;66;24;0;52.73;1.83;;9.25;8.06;55.56;2.17;-;11.25;8.48
;;15-mars;0;4;0;;6;11;;0;39;34;6;53.45;1.63;;10.9;7.47;54.88;1.64;-;17.05;6.39
;;16-mars;5;0;0;;5;2;;0;37;38;12;54.74;1.61;;10.86;7.07;55.88;1.86;-;4.79;11.9
;;17-mars;13;0;0;;8;0;;0;31;37;10;54.93;1.56;;10.63;7.13;55.77;1.89;-;10.62;9.11
;;18-mars;11;36;0;;13;0;;0;15;8;17;50.97;1.89;;12.68;9.23;53.19;2.09;-;11.56;9.46
;;19-mars;12;0;0;;14;0;;0;36;34;4;54.44;1.66;;10.28;7.77;51.44;1.64;-;9.9;11.71
;;20-mars;0;0;0;;13;11;;0;36;40;0;54.6;1.62;;10.8;7.36;56.27;1.45;-;-;6.73
;;21-mars;0;0;0;;0;18;;0;43;27;12;53.73;1.7;;11.75;7.2;56.47;2.1;-;-;8.28
;;22-mars;0;3;0;;7;6;;0;37;35;12;54.59;1.56;;11.04;7.26;52.91;1.59;;14.63;7.52
;;23-mars;0;0;0;;0;0;;0;0;100;0;58;0.95;;11.23;4.95;51.66;1.54;;12.75;9.28
;;24-mars;0;1;0;;10;0;11;4;43;26;5;53.72;1.68;;11.72;7.51;53.22;1.89;;12.84;8.67
;;25-mars;0;10;0;;18;0;;0;28;30;15;53.17;1.69;;11.73;8.07;55.94;1.81;-;9.81;9.36
;;26-mars;0;17;0;;12;0;;4;28;28;11;52.33;1.73;;12.47;8.46;56.69;1.76;;10.54;8.81
;;27-mars;0;5;0;;10;0;;24;13;38;9;52.48;1.56;;15.58;7.6;55.53;1.72;;13.52;8.22
;;28-mars;0;2;0;;2;4;;12;36;39;4;53.57;1.66;;13.05;7.6;56.51;1.99;;10.82;5.44
;;29-mars;0;10;0;;12;12;;5;17;34;9;54;1.5;;13.65;8.16;55.8;1.61;;9.96;7.4
;;30-mars;0;26;0;;12;13;;7;2;27;13;53.62;1.55;;11.65;7.78;56.23;1.49;;10.32;7.83
;;31-mars;0;10;0;;10;14;;9;19;39;0;54.68;1.59;;10.44;7.56;51.11;1.24;;15.13;8.11
;Avril;1-avr.; -     ;13; -     ; -     ; -     ;25;3; -     ;11;48; -     ;55.44;1.47;;11.8;6.44;52.21;1.49;;13.4;9.16
;;2-avr.; -     ;24; -     ; -     ; -     ;15;5; -     ;13;43; -     ;54.83;1.5;;11.41;6.82;55.68;1.53;;12.41;7.84
;;3-avr.; -     ;26; -     ; -     ; -     ;13; -     ; -     ;16;45; -     ;55.32;1.53;;11.78;7.72;57;1.59;;11.56;7.76
;;4-avr.; -     ;33; -     ; -     ; -     ;6; -     ; -     ;34;28; -     ;53.79;1.63;;11.71;8.31;57.46;1.41;;10.92;8.01
;;5-avr.; -     ;25; -     ; -     ; -     ;10;2; -     ;38;25; -     ;53.09;1.69;;12.54;8.52;57.89;0.92;;11.78;7.67
;;6-avr.; -     ;30;6; -     ; -     ;6;2; -     ;23;32; -     ;53.99;1.63;;11.99;8.07;54.58;1.44;;12.56;8.27
;;7-avr.; -     ;11;5; -     ; -     ;10; -     ; -     ;44;30; -     ;53.65;1.68;;11.34;8.56;51.57;1.49;;11.15;
;;8-avr.; -     ;17;2;6; -     ;4; -     ; -     ;39;31; -     ;54.34;1.69;;11.22;8.56;52.77;1.46;;;
;;9-avr.; -     ;10; -     ;12; -     ; -     ;7; -     ;32;39; -     ;54.8;1.59;;12.31;7.94;52.53;1.48;;;11.14
;;10-avr.; -     ;20; -     ;11; -     ;6;4; -     ;23;37; -     ;55.24;1.57;;12.16;8.22;55.05;1.46;;12.6;9.93
;;11-avr.; -     ;4;7;12; -     ; -     ;21; -     ;25;31; -     ;55.11;1.61;;13.87;8.97;51.59;1.51;;;9.76
;;12-avr.;6;19;4;5; -     ; -     ;13; -     ;16;38; -     ;55.28;1.49;;13.48;8.38;53.49;1.46;;11.51;
;;13-avr.;12;15;10;1; -     ;4;8; -     ;20;29; -     ;53.81;1.59;;12.8;8.67;55;1.2;;11.86;
;;14-avr.;9;16;11;3; -     ;14;9; -     ;13;24; -     ;53.12;1.65;;12.03;8.84;54.4;1.62;;12.74;9.06
;;15-avr.;1;15;2;5;11;5;1; -     ;25;35; -     ;54.64;1.55;;11.9;8.07;55.42;1.57;;12.01;
;;16-avr.;5;21;2;4; -     ;9; -     ; -     ;27;32; -     ;54.17;1.55;;11.75;7.99;57.17;1.54;;11.17;
;;17-avr.; -     ;11;7;8; -     ;8; -     ; -     ;21;29;17;53.75;1.55;;12.87;8.32;56.71;1.32;;14.42;
;;18-avr.; -     ;25;3;12; -     ; -     ; -     ; -     ;35;11;13;52.93;1.79;;12.78;9;54.12;1.5;;13.29;
;;19-avr.; -     ;4;14;10; -     ; -     ; -     ; -     ;36;26;10;53.04;1.69;;11.73;8.96;55.57;1.62;;12.76;
;;20-avr.; -     ;7;8;12; -     ; -     ; -     ; -     ;30;27;17;53.61;1.62;;12.31;8.75;55.19;1.6;;12.63;
;;21-avr.; -     ;10;12;11; -     ;7; -     ; -     ;25;25;10;53.38;1.63;;12.28;9.05;54.23;1.55;;17.33;
;;22-avr.; -     ;16;8;8; -     ;11; -     ; -     ;24;22;11;53.42;1.61;;12.75;8.93;54.66;1.7;;11.35;
;;23-avr.; -     ;2;4;10; -     ;4; -     ;8;21;26;25;53.65;1.56;;12.62;8.37;55.76;1.48;;11.84;
;;24-avr.; -     ;14; -     ;12; -     ;5; -     ;4;19;27;19;55.13;1.6;;13.01;8.05;53.37;1.8;;11.67;
;;25-avr.; -     ;7;3;10; -     ; -     ; -     ;14;16;28;22;53.82;1.62;;12.01;7.37;55.77;1.64;;13.45;
;;26-avr.; -     ;25;3;15; -     ; -     ; -     ;24; -     ;26;8;53.91;1.74;;11.98;6.34;56.95;1.42;;12.71;
;;27-avr.; -     ;27; -     ;11; -     ; -     ; -     ;27; -     ;23;12;53.54;1.72;;12.42;6.41;53.76;1.73;;12.32;
;;28-avr.; -     ;2;4;11; -     ; -     ; -     ;39;13;26;6;52.71;1.78;;10.65;6.32;51.57;1.86;;13.01;
;;29-avr.; -     ;1;10;13; -     ;10; -     ;10;21;24;11;52.82;1.63;;12.36;8.19;52.01;1.68;;11.22;
;;30-avr.; -     ;1;10;13; -     ;10; -     ;10;21;24;11;53.82;1.64;;11.48;7.89;54.41;1.14;;12.83;
;Mai;1-mai; -     ;13;1;10; -     ; -     ; -     ;7;21;20;27;53.59;1.58;3.11;13.19;7.67;51.82;1.52;;12.62;
;;2-mai; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;-;-;-;-;-;-;-;;-;-
;;3-mai; -     ;27; -     ;9; -     ; -     ; -     ; -     ;35;18;11;53.28;1.83;3.68;13.03;8.02;50.78;1.9;;12.46;-
;;4-mai; -     ;11; -     ;9; -     ; -     ; -     ;10;46;25; -     ;52.35;1.87;3.59;11.61;8.03;52.75;1.48;;12.48;-
;;5-mai; -     ;19; -     ;12; -     ; -     ; -     ; -     ;31;27;12;53.98;1.67;2.84;12.83;8.09;53.64;1.62;;12.24;
;;6-mai; -     ;7; -     ;25; -     ; -     ; -     ; -     ;28;26;15;53.44;1.73;3.33;12.56;8.06;52.99;1.94;;11.27;
;;7-mai;7;13; -     ;22; -     ; -     ; -     ; -     ;30;23;6;52.83;1.82;3.31;12.28;8.3;53.71;1.88;;12.51;
;;8-mai;2;35; -     ;17; -     ; -     ; -     ; -     ;18;24;4;53.25;1.77;3.86;13.33;8.07;55.35;1.67;;12.13;
;;9-mai;3;9; -     ;21; -     ; -     ; -     ; -     ;37;29; -     ;52.98;1.76;3.86;13.33;8.07;53.3;1.54;;12.62;
;;10-mai;5;12; -     ;21;4; -     ; -     ; -     ;36;22; -     ;52.68;1.84;3.18;11.85;8.68;55.01;1.73;;14.26;
;;11-mai;5;14;1;10;13; -     ; -     ;4;25;26; -     ;53.44;1.65;3.49;11.46;8.49;52.57;1.47;;12.96;
